id,obj_count,trigger_count,portal_count,x_min,x_max,y_min,y_max,stars
61127840,209631,3218,212,-29.0,53325.8,-180.0,2370.0,10
56858926,34112,2044,73,-29.0,25515.0,-180.0,2295.0,7
57545756,34125,833,17,-29.0,16407.3,-180.0,1935.0,2
36824954,50110,1054,91,-29.0,25639.3,-180.0,2175.0,6
63733496,36516,1328,49,-29.0,25645.0,-81.6149,2265.0,7
20731603,5497,294,25,-4768.2,24180.0,-167.221,915.0,5
33681157,34397,1087,158,-75.0,35445.0,-180.0,1335.0,7
57326896,44354,1465,71,-29.0,24345.0,-180.0,1770.0,9
14153813,17937,1809,3,1.0,16646.0,-9.0,1785.0,1
25336017,19403,1012,52,1.0,22366.4,-180.0,1515.0,9
90117883,117410,2357,74,-29.0,27495.0,-180.0,2400.0,5
11440123,26642,1759,26,1.0,33106.0,-165.0,1305.0,6
5272241,10406,630,12,320.0,19824.0,1.0,975.0,6
69872317,24877,2776,27,-208.0,32715.0,-195.0,2385.0,6
835854,4074,20,9,135.0,26384.0,1.0,1455.0,5
36847362,25977,347,21,-29.0,20595.0,-150.0,1995.0,5
93134931,39584,5826,125,-29.0,32297.6,-180.0,2375.22,8
92488018,36016,654,21,-29.0,25485.0,-180.0,2400.0,7
50374878,35087,883,57,-29.0,20228.1,-180.0,1665.0,5
59103225,46867,1485,39,-29.0,20595.0,-180.0,2249.0,6
27090448,29959,986,12,-29.0,25245.0,-148.0,1425.0,3
33118209,16666,441,43,-29.0,19575.0,-180.0,1665.0,5
14757713,7490,188,15,15.0,18425.0,-54.6816,705.0,3
857195,4430,32,9,301.0,20565.0,1.0,825.0,8
80380213,36671,3538,62,-29.0,30465.0,-180.0,2385.0,8
16754209,11814,322,23,45.0,21665.0,-180.0,1215.0,2
61573311,31910,1708,39,-29.0,23085.0,-180.0,2357.0,8
89717065,32938,3385,12,-29.0,36075.0,-180.0,2115.0,7
55007449,23016,998,31,-29.0,21765.0,-165.0,1376.25,6
35851713,18589,321,65,-29.0,24895.0,-180.0,735.0,7
56321709,72285,2106,77,-29.0,47955.0,-165.0,2385.0,10
61090121,56110,656,57,-29.0,28128.0,-135.0,1680.83,10
62047559,16599,730,10,-29.0,20355.0,-52.3503,1814.8,5
26102677,9941,1671,12,15.0,17805.0,-180.0,1545.0,3
64643464,29577,1893,2,-29.0,97995.0,-180.0,2385.0,10
29998675,11249,680,22,-29.0,22725.0,-180.0,1785.0,6
58195391,23600,578,8,-315.0,15855.0,-165.0,1222.3,2
12652218,21819,429,12,15.0,19329.7,1.0,1065.0,3
76421638,55562,1486,34,-29.0,23990.4,-165.0,2400.0,9
71065128,69669,7215,46,-29.0,22995.0,-180.0,2399.25,9
63557567,41920,2093,35,-29.0,25842.6,-180.0,1275.0,7
77241610,98420,1840,92,-29.0,38565.0,-180.0,2366.25,9
74377330,35564,5965,128,-29.0,36019.0,-180.0,2378.32,2
66149142,33357,608,7,-29.0,20994.4,-180.0,1675.09,4
36616381,15706,449,6,-29.0,16139.2,-180.0,2055.0,3
11863768,27873,85,31,-29.0,15081.5,-49.14,1505.5,2
56722428,63296,2049,74,-29.0,36945.0,-105.0,2205.0,8
60467929,30744,729,35,-29.0,23009.3,-180.0,2122.5,6
2846662,12902,209,15,301.0,28953.0,1.0,735.0,5
25321905,30000,798,52,15.0,30975.0,-165.0,1275.0,9
92080246,18000,179,10,-29.0,13679.0,-110.0,1545.0,2
4141864,17682,1063,12,474.75,24915.0,1.0,1305.0,6
87652299,51456,1205,15,-29.0,26025.0,-174.144,2321.25,8
96682975,43993,2307,111,-29.0,24225.0,-180.0,2221.99,9
32376428,19850,529,38,-29.0,22545.0,-135.0,990.0,4
17791751,9736,585,77,1.0,17271.0,-180.0,1155.0,3
77114615,67720,3680,90,-29.0,27960.0,-172.5,2400.0,10
4311321,10245,4029,50,301.0,22515.0,1.0,1455.5,1
72421107,108465,4252,322,-29.0,37830.0,-180.0,2392.08,8
30173579,26352,778,40,1.0,24300.0,-165.0,1305.0,10
12282802,9528,152,29,1.0,15975.0,-135.0,645.0,2
52244801,44268,646,75,-29.0,29925.0,-161.56,2355.0,9
5337984,16910,239,20,301.214,18445.0,1.0,615.0,7
84548645,30883,1814,481,-29.0,27255.0,-165.0,2113.88,5
49136579,39928,1501,17,-1444.62,16395.0,-165.514,1828.37,6
62459152,77075,1805,43,-15.0,34561.0,-146.25,1620.0,5
3786239,7561,601,5,1.0,15465.0,-146.0,1635.0,1
72908955,81360,2074,136,-29.0,31335.0,-180.0,2400.0,9
35873594,15400,459,30,-29.0,16455.0,-180.0,795.0,4
33564671,16108,516,33,15.0,25095.9,-165.0,915.0,8
35165900,37987,4178,54,-29.0,29763.0,-180.0,2385.0,7
172810,3070,10,137,375.0,25185.0,2.0,817.0,2
70559122,9669,1049,9,-29.0,14740.0,-173.0,2220.0,3
19333338,14344,1653,75,1.0,25559.2,-180.0,1800.0,1
64980575,45323,5134,109,-29.0,31755.0,-180.0,2394.0,10
48066350,28130,873,46,-29.0,22135.0,-118.733,1035.0,6
9032320,9266,352,27,45.0,17659.0,1.0,945.0,8
633475,6502,410,34,315.0,29091.0,-4.5,1155.0,1
38244821,48775,1445,70,-29.0,24397.0,-179.0,1530.0,8
59765625,18734,1064,12,-29.0,39225.0,-180.0,2389.53,1
1137762,9268,27,59,315.0,30600.0,1.0,945.0,1
38490307,88604,2133,187,-29.0,40659.3,-180.0,2085.0,7
15768288,14521,5245,28,1.0,21615.0,-90.0,1395.0,3
6229146,4845,17,4,320.0,26535.0,1.0,525.0,2
